,name,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,이루타,삼루타,홈런,볼넷,고의사구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,wpa,year,team
124,고창성,0.17,42,0,0,0,2,0,0,5,37.2,29,28,183,57,7,0,7,11,1,5,23,0,1,6.69,6.22,1.81,79.2,83.3,-0.93,18,KT
125,엄상백,0.17,55,0,0,0,1,8,2,12,46.1,33,28,211,51,9,1,4,17,5,8,44,0,3,5.44,4.35,1.47,97.4,119.7,-1.17,18,KT
126,하준호,-0.06,42,0,0,1,0,3,0,5,41.2,30,28,189,38,6,0,1,27,1,2,26,0,2,6.05,4.64,1.56,79.4,102.9,-1.0,20,KT
127,신병률,-0.06,21,0,0,1,0,0,1,2,25.2,22,20,120,35,10,1,6,7,0,3,14,0,1,7.01,6.95,1.64,75.6,74.5,-0.8,18,KT
128,손동현,-0.21,34,0,0,3,2,3,0,5,47.1,29,25,220,51,7,0,2,31,3,0,29,1,0,4.75,4.5,1.73,87.1,92.0,-0.95,19,KT
129,금민철,-0.22,14,0,0,14,1,4,0,0,57.0,38,32,263,66,7,1,5,25,0,7,26,0,4,5.05,5.32,1.6,81.9,77.5,-0.9,19,KT
130,이대은,-0.25,20,0,0,4,0,4,1,0,29.1,23,19,142,36,6,0,4,13,3,5,15,0,8,5.83,5.84,1.67,82.4,81.2,-2.73,20,KT
131,조병욱,-0.26,9,0,0,4,0,1,0,0,28.1,24,24,131,39,4,0,4,13,0,1,11,0,0,7.62,6.1,1.84,63.0,77.8,-0.51,20,KT
132,김민,-0.43,24,0,0,6,3,3,0,1,42.2,35,31,207,46,4,0,6,29,0,5,32,0,5,6.54,6.27,1.76,73.5,75.6,-1.32,20,KT
133,김민수,-0.66,33,0,0,18,3,8,0,0,103.1,80,70,482,151,22,1,14,30,0,4,63,0,6,6.1,5.08,1.75,78.8,93.4,-3.55,20,KT
134,정성곤,-0.73,52,0,0,0,3,3,8,11,53.2,36,33,248,64,16,2,7,22,3,2,40,0,2,5.53,4.78,1.6,74.8,85.7,-1.02,19,KT
135,엄상백,-0.74,26,0,0,0,2,3,0,0,31.1,29,28,154,40,6,0,6,24,0,0,20,0,1,8.04,6.91,2.04,51.5,59.1,-1.69,19,KT
136,박세진,-0.95,8,0,0,8,1,5,0,0,30.1,37,36,156,47,15,0,10,19,2,2,24,0,3,10.68,8.42,2.18,49.6,61.7,-1.27,18,KT
137,주권,-1.04,46,0,0,10,3,9,0,4,88.0,85,82,407,118,24,4,16,27,1,7,54,0,4,8.39,6.09,1.65,63.2,85.1,-2.79,18,KT
138,윌슨,6.31,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23,3,11,35,1,6,149,1,10,3.07,3.63,1.14,164.3,139.4,2.72,18,LG
139,켈리,4.96,30,0,0,30,13,8,0,0,177.0,64,62,744,160,25,0,12,60,3,11,142,1,7,3.15,3.76,1.24,136.8,115.1,1.61,21,LG
140,소사,4.95,27,1,1,27,9,9,0,0,181.1,83,71,760,192,44,1,16,28,1,4,181,0,6,3.52,3.5,1.21,143.2,143.3,0.16,18,LG
141,수아레즈,4.43,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16,2,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,2.6,21,LG
142,켈리,4.26,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29,1,16,40,0,11,134,0,4,3.32,4.09,1.15,139.3,112.7,1.64,20,LG
143,켈리,3.98,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33,3,7,41,0,16,126,0,12,2.55,3.46,1.14,161.3,118.7,2.39,19,LG
144,고우석,3.89,64,0,0,0,8,2,34,1,70.0,13,12,284,47,7,1,4,29,4,4,76,0,2,1.54,3.22,1.09,266.1,126.7,3.58,19,LG
145,윌슨,3.4,30,1,0,30,14,7,0,0,185.0,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,3.27,1.16,140.6,125.4,1.88,19,LG
146,정우영,3.21,70,0,0,0,7,3,2,27,65.0,16,16,263,43,9,0,0,26,1,8,41,0,2,2.22,3.59,1.06,194.7,123.3,1.94,21,LG
147,고우석,3.13,63,0,0,0,1,5,30,0,58.0,15,14,240,47,10,1,3,23,5,3,68,0,1,2.17,2.75,1.21,198.6,157.6,-0.2,21,LG
148,정우영,2.67,65,0,0,0,4,4,5,20,75.0,26,26,305,48,5,0,3,29,3,11,59,0,1,3.12,3.98,1.03,148.3,117.5,2.14,20,LG
149,켈리,2.15,13,0,0,13,9,1,0,0,79.2,27,24,323,72,5,3,4,18,0,2,72,0,2,2.71,2.92,1.13,141.9,131.3,1.42,22,LG
150,김대유,2.09,64,0,0,0,4,1,0,24,50.2,13,12,209,32,1,0,2,15,0,9,56,0,2,2.13,3.06,0.93,202.4,142.4,1.85,21,LG
151,이정용,1.88,66,0,0,0,3,3,0,15,69.2,25,23,284,55,13,2,4,23,1,1,74,0,0,2.97,2.95,1.12,145.2,146.9,1.11,21,LG
